source	transformation	target
Frank near Quinn runs	sem	 run ( frank ) & near ( frank , quinn ) 
Grace beside Claire runs	sem	 run ( grace ) & beside ( grace , claire ) 
Alice behind Ned sees herself	sem	 see ( alice , alice ) & behind ( alice , ned ) 
Ron behind Sarah runs	sem	 run ( ron ) & behind ( ron , sarah ) 
John beside John runs	sem	 run ( john ) & beside ( john , john ) 
Xavier beside Mary sees Ynez	sem	 see ( xavier , ynez ) & beside ( xavier , mary ) 
Willow beside Xavier sees herself	sem	 see ( willow , willow ) & beside ( willow , xavier ) 
Sarah sees Victor	sem	see ( sarah , victor )
Isla sees herself	sem	see ( isla , isla )
Quinn beside Grace sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , grace ) 
Alice near Victor runs	sem	 run ( alice ) & near ( alice , victor ) 
Frank beside Victor sees himself	sem	 see ( frank , frank ) & beside ( frank , victor ) 
Zack sees himself	sem	see ( zack , zack )
Isla near Ursa sees Bob	sem	 see ( isla , bob ) & near ( isla , ursa ) 
Frank near Ron sees Xavier	sem	 see ( frank , xavier ) & near ( frank , ron ) 
John runs	sem	run ( john )
Victor beside Grace sees himself	sem	 see ( victor , victor ) & beside ( victor , grace ) 
Olivia runs	sem	run ( olivia )
Thomas sees Henry	sem	see ( thomas , henry )
Isla near Leo runs	sem	 run ( isla ) & near ( isla , leo ) 
Grace runs	sem	run ( grace )
Ned by Ned runs	sem	 run ( ned ) & by ( ned , ned ) 
Isla runs	sem	run ( isla )
Isla runs	sem	run ( isla )
Peter behind Peter sees himself	sem	 see ( peter , peter ) & behind ( peter , peter ) 
Frank sees Daniel	sem	see ( frank , daniel )
Daniel runs	sem	run ( daniel )
Daniel beside Peter sees Ellie	sem	 see ( daniel , ellie ) & beside ( daniel , peter ) 
Victor by Peter runs	sem	 run ( victor ) & by ( victor , peter ) 
Ursa runs	sem	run ( ursa )
Alice runs	sem	run ( alice )
Frank sees Ellie	sem	see ( frank , ellie )
Mary runs	sem	run ( mary )
Daniel near Zack sees Daniel	sem	 see ( daniel , daniel ) & near ( daniel , zack ) 
Kate sees herself	sem	see ( kate , kate )
Victor sees himself	sem	see ( victor , victor )
Sarah sees herself	sem	see ( sarah , sarah )
Olivia near Kate sees Kate	sem	 see ( olivia , kate ) & near ( olivia , kate ) 
Thomas sees Alice	sem	see ( thomas , alice )
Mary near Grace sees herself	sem	 see ( mary , mary ) & near ( mary , grace ) 
Henry near Sarah sees himself	sem	 see ( henry , henry ) & near ( henry , sarah ) 
Quinn near Ynez sees herself	sem	 see ( quinn , quinn ) & near ( quinn , ynez ) 
Alice runs	sem	run ( alice )
Thomas behind Frank runs	sem	 run ( thomas ) & behind ( thomas , frank ) 
Claire behind Henry sees herself	sem	 see ( claire , claire ) & behind ( claire , henry ) 
Bob behind Sarah sees John	sem	 see ( bob , john ) & behind ( bob , sarah ) 
Claire beside Henry runs	sem	 run ( claire ) & beside ( claire , henry ) 
Ynez near Zack sees Alice	sem	 see ( ynez , alice ) & near ( ynez , zack ) 
Ursa by Ursa sees Sarah	sem	 see ( ursa , sarah ) & by ( ursa , ursa ) 
Victor by Peter runs	sem	 run ( victor ) & by ( victor , peter ) 
Claire near Quinn sees Isla	sem	 see ( claire , isla ) & near ( claire , quinn ) 
Quinn by Thomas sees Ursa	sem	 see ( quinn , ursa ) & by ( quinn , thomas ) 
Sarah sees Claire	sem	see ( sarah , claire )
Frank runs	sem	run ( frank )
Claire beside Sarah sees Victor	sem	 see ( claire , victor ) & beside ( claire , sarah ) 
Ellie runs	sem	run ( ellie )
Alice sees Kate	sem	see ( alice , kate )
Grace runs	sem	run ( grace )
Ron beside Ron sees himself	sem	 see ( ron , ron ) & beside ( ron , ron ) 
Alice runs	sem	run ( alice )
Mary sees Daniel	sem	see ( mary , daniel )
Zack sees Ynez	sem	see ( zack , ynez )
Ynez runs	sem	run ( ynez )
Ellie beside Leo sees Grace	sem	 see ( ellie , grace ) & beside ( ellie , leo ) 
Thomas near Mary runs	sem	 run ( thomas ) & near ( thomas , mary ) 
Ron near Isla sees himself	sem	 see ( ron , ron ) & near ( ron , isla ) 
Ellie beside Xavier sees Bob	sem	 see ( ellie , bob ) & beside ( ellie , xavier ) 
Isla sees Willow	sem	see ( isla , willow )
Willow runs	sem	run ( willow )
Ned by Xavier sees Leo	sem	 see ( ned , leo ) & by ( ned , xavier ) 
Mary near Alice sees herself	sem	 see ( mary , mary ) & near ( mary , alice ) 
Daniel sees Kate	sem	see ( daniel , kate )
Ursa runs	sem	run ( ursa )
Henry behind Grace sees himself	sem	 see ( henry , henry ) & behind ( henry , grace ) 
Ellie sees Frank	sem	see ( ellie , frank )
Mary sees Claire	sem	see ( mary , claire )
Zack by Bob sees Ursa	sem	 see ( zack , ursa ) & by ( zack , bob ) 
Thomas sees himself	sem	see ( thomas , thomas )
Grace near Zack runs	sem	 run ( grace ) & near ( grace , zack ) 
Quinn by Ned sees Ynez	sem	 see ( quinn , ynez ) & by ( quinn , ned ) 
Grace behind Alice runs	sem	 run ( grace ) & behind ( grace , alice ) 
Mary near Frank sees herself	sem	 see ( mary , mary ) & near ( mary , frank ) 
Mary sees Quinn	sem	see ( mary , quinn )
Sarah near Xavier sees herself	sem	 see ( sarah , sarah ) & near ( sarah , xavier ) 
Zack near John sees himself	sem	 see ( zack , zack ) & near ( zack , john ) 
Sarah runs	sem	run ( sarah )
Daniel behind John sees Sarah	sem	 see ( daniel , sarah ) & behind ( daniel , john ) 
Leo beside Victor sees Victor	sem	 see ( leo , victor ) & beside ( leo , victor ) 
Ynez behind Mary runs	sem	 run ( ynez ) & behind ( ynez , mary ) 
Claire behind Thomas runs	sem	 run ( claire ) & behind ( claire , thomas ) 
Victor by Mary sees Ursa	sem	 see ( victor , ursa ) & by ( victor , mary ) 
Xavier beside Alice sees himself	sem	 see ( xavier , xavier ) & beside ( xavier , alice ) 
Willow by Claire runs	sem	 run ( willow ) & by ( willow , claire ) 
Daniel by Henry sees Olivia	sem	 see ( daniel , olivia ) & by ( daniel , henry ) 
Ron near John runs	sem	 run ( ron ) & near ( ron , john ) 
Claire near Victor sees Kate	sem	 see ( claire , kate ) & near ( claire , victor ) 
Ron sees Peter	sem	see ( ron , peter )
Ynez sees Ned	sem	see ( ynez , ned )
Xavier near Mary sees Frank	sem	 see ( xavier , frank ) & near ( xavier , mary ) 
Frank behind Zack sees Willow	sem	 see ( frank , willow ) & behind ( frank , zack ) 
Willow runs	sem	run ( willow )
Ellie sees Willow	sem	see ( ellie , willow )
Daniel by Willow runs	sem	 run ( daniel ) & by ( daniel , willow ) 
Victor beside Isla sees himself	sem	 see ( victor , victor ) & beside ( victor , isla ) 
Ursa sees herself	sem	see ( ursa , ursa )
Ursa runs	sem	run ( ursa )
Frank behind Isla runs	sem	 run ( frank ) & behind ( frank , isla ) 
Sarah by Quinn sees Ron	sem	 see ( sarah , ron ) & by ( sarah , quinn ) 
Ynez by Ron runs	sem	 run ( ynez ) & by ( ynez , ron ) 
Victor behind Ned runs	sem	 run ( victor ) & behind ( victor , ned ) 
Daniel near Sarah runs	sem	 run ( daniel ) & near ( daniel , sarah ) 
Victor sees Claire	sem	see ( victor , claire )
Willow sees herself	sem	see ( willow , willow )
Frank near Willow sees Zack	sem	 see ( frank , zack ) & near ( frank , willow ) 
Leo sees himself	sem	see ( leo , leo )
Xavier near Ellie sees Kate	sem	 see ( xavier , kate ) & near ( xavier , ellie ) 
Quinn sees Mary	sem	see ( quinn , mary )
Peter near John sees Frank	sem	 see ( peter , frank ) & near ( peter , john ) 
Leo behind Sarah runs	sem	 run ( leo ) & behind ( leo , sarah ) 
Ursa by Bob runs	sem	 run ( ursa ) & by ( ursa , bob ) 
Xavier sees Daniel	sem	see ( xavier , daniel )
Bob near Leo sees Ron	sem	 see ( bob , ron ) & near ( bob , leo ) 
Ursa sees Ellie	sem	see ( ursa , ellie )
Ellie sees Daniel	sem	see ( ellie , daniel )
Alice by Frank sees Alice	sem	 see ( alice , alice ) & by ( alice , frank ) 
Grace behind Zack sees herself	sem	 see ( grace , grace ) & behind ( grace , zack ) 
Peter beside Xavier runs	sem	 run ( peter ) & beside ( peter , xavier ) 
Xavier sees Peter	sem	see ( xavier , peter )
Peter sees Ursa	sem	see ( peter , ursa )
Willow by Mary sees Ellie	sem	 see ( willow , ellie ) & by ( willow , mary ) 
Grace sees Thomas	sem	see ( grace , thomas )
Alice behind John sees Willow	sem	 see ( alice , willow ) & behind ( alice , john ) 
Kate by Ron runs	sem	 run ( kate ) & by ( kate , ron ) 
Ynez sees herself	sem	see ( ynez , ynez )
Grace near Xavier sees Isla	sem	 see ( grace , isla ) & near ( grace , xavier ) 
Ynez sees herself	sem	see ( ynez , ynez )
Bob by Grace sees Olivia	sem	 see ( bob , olivia ) & by ( bob , grace ) 
Grace sees Ned	sem	see ( grace , ned )
Ron runs	sem	run ( ron )
Henry runs	sem	run ( henry )
Thomas beside Henry runs	sem	 run ( thomas ) & beside ( thomas , henry ) 
Thomas sees Mary	sem	see ( thomas , mary )
Kate sees Daniel	sem	see ( kate , daniel )
Ynez near Olivia sees John	sem	 see ( ynez , john ) & near ( ynez , olivia ) 
Kate sees Kate	sem	see ( kate , kate )
Ellie by Olivia runs	sem	 run ( ellie ) & by ( ellie , olivia ) 
Frank by Ellie sees Willow	sem	 see ( frank , willow ) & by ( frank , ellie ) 
Olivia sees Daniel	sem	see ( olivia , daniel )
Sarah beside Daniel sees Ned	sem	 see ( sarah , ned ) & beside ( sarah , daniel ) 
Peter sees himself	sem	see ( peter , peter )
Victor beside Ron sees John	sem	 see ( victor , john ) & beside ( victor , ron ) 
John sees Grace	sem	see ( john , grace )
Bob near Claire sees Xavier	sem	 see ( bob , xavier ) & near ( bob , claire ) 
Zack runs	sem	run ( zack )
Quinn by Thomas sees Alice	sem	 see ( quinn , alice ) & by ( quinn , thomas ) 
Willow runs	sem	run ( willow )
Alice sees Grace	sem	see ( alice , grace )
Ynez behind Ron sees herself	sem	 see ( ynez , ynez ) & behind ( ynez , ron ) 
Quinn runs	sem	run ( quinn )
Ynez beside Ron sees Quinn	sem	 see ( ynez , quinn ) & beside ( ynez , ron ) 
Ynez beside Quinn runs	sem	 run ( ynez ) & beside ( ynez , quinn ) 
Grace sees Ursa	sem	see ( grace , ursa )
Sarah behind Henry sees Quinn	sem	 see ( sarah , quinn ) & behind ( sarah , henry ) 
Ron behind Claire sees Kate	sem	 see ( ron , kate ) & behind ( ron , claire ) 
Peter by Olivia runs	sem	 run ( peter ) & by ( peter , olivia ) 
Claire sees John	sem	see ( claire , john )
Ned runs	sem	run ( ned )
Ellie runs	sem	run ( ellie )
Olivia runs	sem	run ( olivia )
Ron sees Frank	sem	see ( ron , frank )
Ursa sees Ellie	sem	see ( ursa , ellie )
Olivia behind Thomas sees herself	sem	 see ( olivia , olivia ) & behind ( olivia , thomas ) 
Victor near Olivia sees himself	sem	 see ( victor , victor ) & near ( victor , olivia ) 
Olivia by Ynez sees herself	sem	 see ( olivia , olivia ) & by ( olivia , ynez ) 
Isla beside Ursa runs	sem	 run ( isla ) & beside ( isla , ursa ) 
Claire runs	sem	run ( claire )
Sarah by Ron sees Mary	sem	 see ( sarah , mary ) & by ( sarah , ron ) 
Ron behind Kate sees Ron	sem	 see ( ron , ron ) & behind ( ron , kate ) 
John near Isla runs	sem	 run ( john ) & near ( john , isla ) 
Bob near Xavier sees Peter	sem	 see ( bob , peter ) & near ( bob , xavier ) 
Isla sees Frank	sem	see ( isla , frank )
Daniel sees Frank	sem	see ( daniel , frank )
Frank runs	sem	run ( frank )
Xavier beside Henry sees himself	sem	 see ( xavier , xavier ) & beside ( xavier , henry ) 
Daniel runs	sem	run ( daniel )
Isla beside Ron sees herself	sem	 see ( isla , isla ) & beside ( isla , ron ) 
Kate sees Ellie	sem	see ( kate , ellie )
Xavier near Kate sees Olivia	sem	 see ( xavier , olivia ) & near ( xavier , kate ) 
Xavier by Ellie sees himself	sem	 see ( xavier , xavier ) & by ( xavier , ellie ) 
Frank sees himself	sem	see ( frank , frank )
Victor by Kate sees Willow	sem	 see ( victor , willow ) & by ( victor , kate ) 
Claire sees herself	sem	see ( claire , claire )
Ron sees Frank	sem	see ( ron , frank )
Alice runs	sem	run ( alice )
Olivia by Ursa sees Thomas	sem	 see ( olivia , thomas ) & by ( olivia , ursa ) 
Bob by Alice sees himself	sem	 see ( bob , bob ) & by ( bob , alice ) 
Ellie by Willow sees Daniel	sem	 see ( ellie , daniel ) & by ( ellie , willow ) 
Ynez runs	sem	run ( ynez )
Quinn sees herself	sem	see ( quinn , quinn )
Isla sees herself	sem	see ( isla , isla )
Ned runs	sem	run ( ned )
Kate sees herself	sem	see ( kate , kate )
Thomas runs	sem	run ( thomas )
John near Daniel runs	sem	 run ( john ) & near ( john , daniel ) 
Kate behind Leo sees herself	sem	 see ( kate , kate ) & behind ( kate , leo ) 
Henry runs	sem	run ( henry )
Zack near Claire sees Grace	sem	 see ( zack , grace ) & near ( zack , claire ) 
Isla by Ellie sees herself	sem	 see ( isla , isla ) & by ( isla , ellie ) 
Mary beside Frank sees herself	sem	 see ( mary , mary ) & beside ( mary , frank ) 
Alice beside Ellie sees Henry	sem	 see ( alice , henry ) & beside ( alice , ellie ) 
Daniel runs	sem	run ( daniel )
Claire runs	sem	run ( claire )
Claire near Ellie sees Thomas	sem	 see ( claire , thomas ) & near ( claire , ellie ) 
Olivia by John runs	sem	 run ( olivia ) & by ( olivia , john ) 
Ned behind Zack sees Henry	sem	 see ( ned , henry ) & behind ( ned , zack ) 
Mary beside Ron runs	sem	 run ( mary ) & beside ( mary , ron ) 
Sarah by Claire sees Ned	sem	 see ( sarah , ned ) & by ( sarah , claire ) 
Willow sees herself	sem	see ( willow , willow )
Mary behind Xavier runs	sem	 run ( mary ) & behind ( mary , xavier ) 
John by Kate runs	sem	 run ( john ) & by ( john , kate ) 
Zack near Grace sees Victor	sem	 see ( zack , victor ) & near ( zack , grace ) 
Victor near Ellie runs	sem	 run ( victor ) & near ( victor , ellie ) 
Leo sees Kate	sem	see ( leo , kate )
Bob behind Peter sees himself	sem	 see ( bob , bob ) & behind ( bob , peter ) 
Ned runs	sem	run ( ned )
Zack near Zack sees Henry	sem	 see ( zack , henry ) & near ( zack , zack ) 
Kate sees Bob	sem	see ( kate , bob )
Mary runs	sem	run ( mary )
Grace behind Sarah sees Ron	sem	 see ( grace , ron ) & behind ( grace , sarah ) 
Olivia runs	sem	run ( olivia )
Sarah near Olivia sees herself	sem	 see ( sarah , sarah ) & near ( sarah , olivia ) 
Olivia sees herself	sem	see ( olivia , olivia )
John runs	sem	run ( john )
John sees Zack	sem	see ( john , zack )
Daniel sees Xavier	sem	see ( daniel , xavier )
Peter by Alice sees Henry	sem	 see ( peter , henry ) & by ( peter , alice ) 
Quinn by Ellie sees herself	sem	 see ( quinn , quinn ) & by ( quinn , ellie ) 
Daniel behind John sees Willow	sem	 see ( daniel , willow ) & behind ( daniel , john ) 
Bob by Victor runs	sem	 run ( bob ) & by ( bob , victor ) 
Kate runs	sem	run ( kate )
Quinn beside Ynez sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , ynez ) 
Willow near Ellie sees herself	sem	 see ( willow , willow ) & near ( willow , ellie ) 
Bob behind Grace runs	sem	 run ( bob ) & behind ( bob , grace ) 
Thomas behind Ellie sees himself	sem	 see ( thomas , thomas ) & behind ( thomas , ellie ) 
Ynez runs	sem	run ( ynez )
Sarah by Ellie runs	sem	 run ( sarah ) & by ( sarah , ellie ) 
Ron by Grace runs	sem	 run ( ron ) & by ( ron , grace ) 
Daniel beside John sees himself	sem	 see ( daniel , daniel ) & beside ( daniel , john ) 
Alice runs	sem	run ( alice )
Isla beside Zack runs	sem	 run ( isla ) & beside ( isla , zack ) 
Victor runs	sem	run ( victor )
Ned by Claire runs	sem	 run ( ned ) & by ( ned , claire ) 
Xavier sees himself	sem	see ( xavier , xavier )
Zack sees Leo	sem	see ( zack , leo )
Henry beside Ned runs	sem	 run ( henry ) & beside ( henry , ned ) 
Sarah sees Kate	sem	see ( sarah , kate )
Peter runs	sem	run ( peter )
Olivia behind Frank runs	sem	 run ( olivia ) & behind ( olivia , frank ) 
Mary by Daniel runs	sem	 run ( mary ) & by ( mary , daniel ) 
Leo by Zack sees Olivia	sem	 see ( leo , olivia ) & by ( leo , zack ) 
Ron runs	sem	run ( ron )
Quinn by Thomas sees Ynez	sem	 see ( quinn , ynez ) & by ( quinn , thomas ) 
Victor sees himself	sem	see ( victor , victor )
Alice runs	sem	run ( alice )
Quinn beside Xavier sees Ron	sem	 see ( quinn , ron ) & beside ( quinn , xavier ) 
Ursa sees herself	sem	see ( ursa , ursa )
Sarah runs	sem	run ( sarah )
Daniel runs	sem	run ( daniel )
Alice behind Claire runs	sem	 run ( alice ) & behind ( alice , claire ) 
Quinn near Grace runs	sem	 run ( quinn ) & near ( quinn , grace ) 
Alice runs	sem	run ( alice )
Isla near Olivia sees Grace	sem	 see ( isla , grace ) & near ( isla , olivia ) 
Zack sees himself	sem	see ( zack , zack )
Ned by Olivia sees himself	sem	 see ( ned , ned ) & by ( ned , olivia ) 
Ned sees himself	sem	see ( ned , ned )
Thomas beside Frank sees himself	sem	 see ( thomas , thomas ) & beside ( thomas , frank ) 
Thomas near Quinn sees Mary	sem	 see ( thomas , mary ) & near ( thomas , quinn ) 
Xavier beside Henry runs	sem	 run ( xavier ) & beside ( xavier , henry ) 
Ynez sees Grace	sem	see ( ynez , grace )
Alice near Daniel runs	sem	 run ( alice ) & near ( alice , daniel ) 
Victor near Zack sees himself	sem	 see ( victor , victor ) & near ( victor , zack ) 
Ellie sees herself	sem	see ( ellie , ellie )
Ron sees himself	sem	see ( ron , ron )
Daniel runs	sem	run ( daniel )
Grace beside Mary runs	sem	 run ( grace ) & beside ( grace , mary ) 
Alice by Ned sees herself	sem	 see ( alice , alice ) & by ( alice , ned ) 
Victor beside Ned sees Xavier	sem	 see ( victor , xavier ) & beside ( victor , ned ) 
Xavier runs	sem	run ( xavier )
Ron beside Thomas sees Ron	sem	 see ( ron , ron ) & beside ( ron , thomas ) 
Kate runs	sem	run ( kate )
Isla sees Ron	sem	see ( isla , ron )
Alice beside Ned sees herself	sem	 see ( alice , alice ) & beside ( alice , ned ) 
Quinn by Xavier sees Grace	sem	 see ( quinn , grace ) & by ( quinn , xavier ) 
Sarah near Olivia sees Leo	sem	 see ( sarah , leo ) & near ( sarah , olivia ) 
Henry near Daniel runs	sem	 run ( henry ) & near ( henry , daniel ) 
Willow sees Quinn	sem	see ( willow , quinn )
Sarah behind Frank runs	sem	 run ( sarah ) & behind ( sarah , frank ) 
Daniel behind Alice sees Peter	sem	 see ( daniel , peter ) & behind ( daniel , alice ) 
Bob beside Alice sees Kate	sem	 see ( bob , kate ) & beside ( bob , alice ) 
Isla sees Leo	sem	see ( isla , leo )
Xavier beside Alice sees himself	sem	 see ( xavier , xavier ) & beside ( xavier , alice ) 
Bob sees himself	sem	see ( bob , bob )
Ynez behind Willow sees herself	sem	 see ( ynez , ynez ) & behind ( ynez , willow ) 
Ynez near Sarah sees Olivia	sem	 see ( ynez , olivia ) & near ( ynez , sarah ) 
Kate by Willow sees Thomas	sem	 see ( kate , thomas ) & by ( kate , willow ) 
Ursa sees Ursa	sem	see ( ursa , ursa )
John sees Thomas	sem	see ( john , thomas )
Ron near Alice sees Olivia	sem	 see ( ron , olivia ) & near ( ron , alice ) 
Sarah sees John	sem	see ( sarah , john )
Kate sees Claire	sem	see ( kate , claire )
Ynez sees Mary	sem	see ( ynez , mary )
Sarah beside Ynez sees Frank	sem	 see ( sarah , frank ) & beside ( sarah , ynez ) 
Frank near Mary sees Mary	sem	 see ( frank , mary ) & near ( frank , mary ) 
Zack behind Olivia sees himself	sem	 see ( zack , zack ) & behind ( zack , olivia ) 
Victor by Quinn sees Mary	sem	 see ( victor , mary ) & by ( victor , quinn ) 
Ynez beside Leo sees Claire	sem	 see ( ynez , claire ) & beside ( ynez , leo ) 
Ned sees Leo	sem	see ( ned , leo )
Alice near Kate sees Mary	sem	 see ( alice , mary ) & near ( alice , kate ) 
Kate beside Ynez sees herself	sem	 see ( kate , kate ) & beside ( kate , ynez ) 
Henry sees Grace	sem	see ( henry , grace )
Ynez near Willow sees Ursa	sem	 see ( ynez , ursa ) & near ( ynez , willow ) 
Quinn behind Sarah sees Daniel	sem	 see ( quinn , daniel ) & behind ( quinn , sarah ) 
Ynez near Xavier sees herself	sem	 see ( ynez , ynez ) & near ( ynez , xavier ) 
Henry beside Zack sees Ellie	sem	 see ( henry , ellie ) & beside ( henry , zack ) 
Mary sees herself	sem	see ( mary , mary )
Peter sees himself	sem	see ( peter , peter )
Peter sees Ned	sem	see ( peter , ned )
Grace near John runs	sem	 run ( grace ) & near ( grace , john ) 
Thomas sees himself	sem	see ( thomas , thomas )
Ellie sees herself	sem	see ( ellie , ellie )
Claire beside Thomas sees Isla	sem	 see ( claire , isla ) & beside ( claire , thomas ) 
Ynez beside Thomas runs	sem	 run ( ynez ) & beside ( ynez , thomas ) 
Sarah sees herself	sem	see ( sarah , sarah )
Isla runs	sem	run ( isla )
Kate runs	sem	run ( kate )
Ellie sees Alice	sem	see ( ellie , alice )
Alice behind Thomas runs	sem	 run ( alice ) & behind ( alice , thomas ) 
Quinn sees Mary	sem	see ( quinn , mary )
Victor beside Willow sees himself	sem	 see ( victor , victor ) & beside ( victor , willow ) 
Victor behind Henry runs	sem	 run ( victor ) & behind ( victor , henry ) 
Kate sees Sarah	sem	see ( kate , sarah )
Henry behind Xavier runs	sem	 run ( henry ) & behind ( henry , xavier ) 
John sees himself	sem	see ( john , john )
Leo behind Ron sees Bob	sem	 see ( leo , bob ) & behind ( leo , ron ) 
Olivia near Victor runs	sem	 run ( olivia ) & near ( olivia , victor ) 
Leo sees Claire	sem	see ( leo , claire )
Frank behind John runs	sem	 run ( frank ) & behind ( frank , john ) 
Olivia behind Xavier sees Grace	sem	 see ( olivia , grace ) & behind ( olivia , xavier ) 
Xavier runs	sem	run ( xavier )
Mary beside Thomas runs	sem	 run ( mary ) & beside ( mary , thomas ) 
Grace by Frank sees Alice	sem	 see ( grace , alice ) & by ( grace , frank ) 
Ron sees Leo	sem	see ( ron , leo )
Ursa sees Willow	sem	see ( ursa , willow )
Sarah sees herself	sem	see ( sarah , sarah )
Kate by Olivia sees Sarah	sem	 see ( kate , sarah ) & by ( kate , olivia ) 
John runs	sem	run ( john )
Isla runs	sem	run ( isla )
Ynez by Bob sees Alice	sem	 see ( ynez , alice ) & by ( ynez , bob ) 
Kate beside Thomas sees Victor	sem	 see ( kate , victor ) & beside ( kate , thomas ) 
Xavier behind Ursa runs	sem	 run ( xavier ) & behind ( xavier , ursa ) 
Ned behind Zack sees Olivia	sem	 see ( ned , olivia ) & behind ( ned , zack ) 
John sees himself	sem	see ( john , john )
Ron by Quinn sees Kate	sem	 see ( ron , kate ) & by ( ron , quinn ) 
Ned runs	sem	run ( ned )
Zack behind Ellie sees himself	sem	 see ( zack , zack ) & behind ( zack , ellie ) 
Grace runs	sem	run ( grace )
Grace sees Quinn	sem	see ( grace , quinn )
Grace near Ned sees Alice	sem	 see ( grace , alice ) & near ( grace , ned ) 
Thomas sees Grace	sem	see ( thomas , grace )
Ron beside Quinn sees Willow	sem	 see ( ron , willow ) & beside ( ron , quinn ) 
Sarah sees herself	sem	see ( sarah , sarah )
Sarah behind Ned runs	sem	 run ( sarah ) & behind ( sarah , ned ) 
Daniel sees himself	sem	see ( daniel , daniel )
Grace sees Isla	sem	see ( grace , isla )
Ron runs	sem	run ( ron )
Ned near Alice runs	sem	 run ( ned ) & near ( ned , alice ) 
Ynez near Ursa sees Isla	sem	 see ( ynez , isla ) & near ( ynez , ursa ) 
Ursa near Daniel sees Xavier	sem	 see ( ursa , xavier ) & near ( ursa , daniel ) 
Alice beside Ron sees John	sem	 see ( alice , john ) & beside ( alice , ron ) 
Frank runs	sem	run ( frank )
Frank sees himself	sem	see ( frank , frank )
Victor runs	sem	run ( victor )
Olivia runs	sem	run ( olivia )
Claire behind Daniel sees Ron	sem	 see ( claire , ron ) & behind ( claire , daniel ) 
Victor runs	sem	run ( victor )
Kate sees Kate	sem	see ( kate , kate )
Ellie by Claire runs	sem	 run ( ellie ) & by ( ellie , claire ) 
Leo sees Leo	sem	see ( leo , leo )
Quinn by Daniel runs	sem	 run ( quinn ) & by ( quinn , daniel ) 
Henry sees Sarah	sem	see ( henry , sarah )
Quinn beside Mary sees herself	sem	 see ( quinn , quinn ) & beside ( quinn , mary ) 
Olivia beside Grace runs	sem	 run ( olivia ) & beside ( olivia , grace ) 
Daniel sees himself	sem	see ( daniel , daniel )
Henry behind Ron sees Isla	sem	 see ( henry , isla ) & behind ( henry , ron ) 
Kate sees Frank	sem	see ( kate , frank )
Ynez sees herself	sem	see ( ynez , ynez )
Grace near Willow sees Grace	sem	 see ( grace , grace ) & near ( grace , willow ) 
Willow sees Quinn	sem	see ( willow , quinn )
Alice near Peter runs	sem	 run ( alice ) & near ( alice , peter ) 
Sarah by John runs	sem	 run ( sarah ) & by ( sarah , john ) 
Isla sees herself	sem	see ( isla , isla )
Willow sees herself	sem	see ( willow , willow )
Kate near Bob runs	sem	 run ( kate ) & near ( kate , bob ) 
Frank beside Quinn sees himself	sem	 see ( frank , frank ) & beside ( frank , quinn ) 
Xavier by Ynez runs	sem	 run ( xavier ) & by ( xavier , ynez ) 
Peter beside Ned sees Kate	sem	 see ( peter , kate ) & beside ( peter , ned ) 
Ursa beside Olivia runs	sem	 run ( ursa ) & beside ( ursa , olivia ) 
Mary behind Bob sees Frank	sem	 see ( mary , frank ) & behind ( mary , bob ) 
Leo behind Thomas runs	sem	 run ( leo ) & behind ( leo , thomas ) 
Willow by Daniel runs	sem	 run ( willow ) & by ( willow , daniel ) 
Claire by Peter runs	sem	 run ( claire ) & by ( claire , peter ) 
Ynez near Ned sees herself	sem	 see ( ynez , ynez ) & near ( ynez , ned ) 
Henry near Grace sees himself	sem	 see ( henry , henry ) & near ( henry , grace ) 
Olivia sees Thomas	sem	see ( olivia , thomas )
Willow sees herself	sem	see ( willow , willow )
Peter sees Ned	sem	see ( peter , ned )
Quinn sees Claire	sem	see ( quinn , claire )
John by Ron sees Claire	sem	 see ( john , claire ) & by ( john , ron ) 
Thomas sees Thomas	sem	see ( thomas , thomas )
Olivia behind Frank sees Ellie	sem	 see ( olivia , ellie ) & behind ( olivia , frank ) 
Sarah behind Quinn sees Isla	sem	 see ( sarah , isla ) & behind ( sarah , quinn ) 
Quinn near Grace sees herself	sem	 see ( quinn , quinn ) & near ( quinn , grace ) 
Leo near Kate sees Ynez	sem	 see ( leo , ynez ) & near ( leo , kate ) 
Grace behind Zack runs	sem	 run ( grace ) & behind ( grace , zack ) 
John near John sees himself	sem	 see ( john , john ) & near ( john , john ) 
John near Alice runs	sem	 run ( john ) & near ( john , alice ) 
Sarah near Xavier sees Peter	sem	 see ( sarah , peter ) & near ( sarah , xavier ) 
Sarah runs	sem	run ( sarah )
Zack sees Claire	sem	see ( zack , claire )
Leo sees Alice	sem	see ( leo , alice )
Ursa runs	sem	run ( ursa )
Mary beside Ron sees Alice	sem	 see ( mary , alice ) & beside ( mary , ron ) 
Isla sees herself	sem	see ( isla , isla )
Peter behind Bob sees Ynez	sem	 see ( peter , ynez ) & behind ( peter , bob ) 
Claire sees herself	sem	see ( claire , claire )
Olivia runs	sem	run ( olivia )
Leo runs	sem	run ( leo )
Mary sees Zack	sem	see ( mary , zack )
Ursa behind Leo sees Claire	sem	 see ( ursa , claire ) & behind ( ursa , leo ) 
Zack behind Victor sees Xavier	sem	 see ( zack , xavier ) & behind ( zack , victor ) 
